Designator,Mid X,Mid Y,Rotation,Layer
BZ1,152.5,-128.5,0.0,top
C1,150.25,-169.0,90.0,top
C2,154.75,-169.0,90.0,top
C3,152.5,-164.75,0.0,top
D1,152.5,-139.0,0.0,top
D10,134.5,-128.5,90.0,bottom
D11,170.5,-128.5,270.0,bottom
D2,152.5,-148.25,180.0,bottom
D3,164.5,-180.5,180.0,top
D4,140.5,-180.5,0.0,top
D5,152.5,-113.25,0.0,top
D6,140.5,-161.0,180.0,top
D7,164.5,-161.0,0.0,top
D8,134.5,-128.5,90.0,top
D9,170.5,-128.5,90.0,top
J1,152.51,-143.23,270.0,bottom
J4,152.51,-151.98,90.0,top
J5,152.515,-175.995,270.0,bottom
R1,145.0,-136.5,135.0,top
R10,141.5,-128.5,90.0,top
R11,163.5,-128.5,90.0,top
R12,145.0,-120.5,45.0,top
R13,160.0,-136.5,45.0,top
R2,152.5,-148.25,0.0,top
R3,161.0,-176.25,90.0,top
R4,144.0,-176.25,90.0,top
R5,160.0,-120.5,135.0,top
R6,145.5,-176.25,90.0,top
R7,159.5,-176.25,90.0,top
R8,153.25,-169.0,90.0,top
R9,151.75,-169.0,90.0,top
SW1,140.5,-171.5,270.0,top
SW2,164.5,-171.5,270.0,top
U1,152.5,-159.25,270.0,top
