Designator,Footprint,Quantity,Value,LCSC Part #
"BZ1_10, BZ1_9, BZ1_8, BZ1_7, BZ1_6, BZ1_5, BZ1_4, BZ1_3, BZ1_2, BZ1",Buzzer_12x9.5RM7.6,10,Buzzer,
"C1_10, C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1, C2_10, C2_9, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2",0603,20,1nF,
"C3_10, C3_9, C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3",0603,10,100nF,
"D1_10, D1_9, D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1",0603,10,blue front powerled,
"D10_10, D10_9, D10_8, D10_7, D10_6, D10_5, D10_4, D10_3, D10_2, D10",0603,10,LED dish bottom left,
"D11_10, D11_9, D11_8, D11_7, D11_6, D11_5, D11_4, D11_3, D11_2, D11",0603,10,LED dish bottom right,
"D2_10, D2_9, D2_8, D2_7, D2_6, D2_5, D2_4, D2_3, D2_2, D2",0603,10,lower front LED,
"D3_10, D3_9, D3_8, D3_7, D3_6, D3_5, D3_4, D3_3, D3_2, D3",0603,10,LED blue right,
"D4_10, D4_9, D4_8, D4_7, D4_6, D4_5, D4_4, D4_3, D4_2, D4",0603,10,LED blue left,
"D5_10, D5_9, D5_8, D5_7, D5_6, D5_5, D5_4, D5_3, D5_2, D5",0603,10,LED blue front,
"D6_10, D6_9, D6_8, D6_7, D6_6, D6_5, D6_4, D6_3, D6_2, D6",0603,10,LED red left,
"D7_10, D7_9, D7_8, D7_7, D7_6, D7_5, D7_4, D7_3, D7_2, D7",0603,10,LED red right,
"D8_10, D8_9, D8_8, D8_7, D8_6, D8_5, D8_4, D8_3, D8_2, D8",0603,10,LED dish top left,
"D9_10, D9_9, D9_8, D9_7, D9_6, D9_5, D9_4, D9_3, D9_2, D9",0603,10,LED dish top right,
"J1_10, J1_9, J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1",PinHeader_2x04_P2.54mm_Vertical,10,Conn_02x04_Odd_Even,
"J3_10, J3_9, J3_8, J3_7, J3_6, J3_5, J3_4, J3_3, J3_2, J3",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,10,GPIO,
"J4_10, J4_9, J4_8, J4_7, J4_6, J4_5, J4_4, J4_3, J4_2, J4",PinSocket_2x04_P2.54mm_Vertical,10,saucer connetion,
"J5_10, J5_9, J5_8, J5_7, J5_6, J5_5, J5_4, J5_3, J5_2, J5",PinHeader_2x03_P2.54mm_Vertical,10,SAO Connector,
"JP1_10, JP1_9, JP1_8, JP1_7, JP1_6, JP1_5, JP1_4, JP1_3, JP1_2, JP1",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,10,Jumper_2_Bridged,
"KIKIT_FID_B_1, KIKIT_FID_B_2, KIKIT_FID_B_3, KIKIT_FID_B_4, KIKIT_FID_T_1, KIKIT_FID_T_2, KIKIT_FID_T_3, KIKIT_FID_T_4",Fiducial,8,Fiducial,
"KIKIT_MB_10_1, KIKIT_MB_10_2, KIKIT_MB_10_3, KIKIT_MB_10_4, KIKIT_MB_11_1, KIKIT_MB_11_2, KIKIT_MB_11_3, KIKIT_MB_11_4, KIKIT_MB_12_1, KIKIT_MB_12_2, KIKIT_MB_12_3, KIKIT_MB_12_4, KIKIT_MB_13_1, KIKIT_MB_13_2, KIKIT_MB_13_3, KIKIT_MB_13_4, KIKIT_MB_14_1, KIKIT_MB_14_2, KIKIT_MB_14_3, KIKIT_MB_14_4, KIKIT_MB_15_1, KIKIT_MB_15_2, KIKIT_MB_15_3, KIKIT_MB_15_4, KIKIT_MB_16_1, KIKIT_MB_16_2, KIKIT_MB_16_3, KIKIT_MB_16_4, KIKIT_MB_17_1, KIKIT_MB_17_2, KIKIT_MB_17_3, KIKIT_MB_17_4, KIKIT_MB_18_1, KIKIT_MB_18_2, KIKIT_MB_18_3, KIKIT_MB_18_4, KIKIT_MB_19_1, KIKIT_MB_19_2, KIKIT_MB_19_3, KIKIT_MB_19_4, KIKIT_MB_1_1, KIKIT_MB_1_2, KIKIT_MB_1_3, KIKIT_MB_1_4, KIKIT_MB_20_1, KIKIT_MB_20_2, KIKIT_MB_20_3, KIKIT_MB_20_4, KIKIT_MB_21_1, KIKIT_MB_21_2, KIKIT_MB_21_3, KIKIT_MB_21_4, KIKIT_MB_22_1, KIKIT_MB_22_2, KIKIT_MB_22_3, KIKIT_MB_22_4, KIKIT_MB_23_1, KIKIT_MB_23_2, KIKIT_MB_23_3, KIKIT_MB_23_4, KIKIT_MB_24_1, KIKIT_MB_24_2, KIKIT_MB_24_3, KIKIT_MB_24_4, KIKIT_MB_25_1, KIKIT_MB_25_2, KIKIT_MB_25_3, KIKIT_MB_25_4, KIKIT_MB_26_1, KIKIT_MB_26_2, KIKIT_MB_26_3, KIKIT_MB_26_4, KIKIT_MB_27_1, KIKIT_MB_27_2, KIKIT_MB_27_3, KIKIT_MB_27_4, KIKIT_MB_28_1, KIKIT_MB_28_2, KIKIT_MB_28_3, KIKIT_MB_28_4, KIKIT_MB_29_1, KIKIT_MB_29_2, KIKIT_MB_29_3, KIKIT_MB_29_4, KIKIT_MB_2_1, KIKIT_MB_2_2, KIKIT_MB_2_3, KIKIT_MB_2_4, KIKIT_MB_30_1, KIKIT_MB_30_2, KIKIT_MB_30_3, KIKIT_MB_30_4, KIKIT_MB_31_1, KIKIT_MB_31_2, KIKIT_MB_31_3, KIKIT_MB_31_4, KIKIT_MB_32_1, KIKIT_MB_32_2, KIKIT_MB_32_3, KIKIT_MB_32_4, KIKIT_MB_33_1, KIKIT_MB_33_2, KIKIT_MB_33_3, KIKIT_MB_33_4, KIKIT_MB_34_1, KIKIT_MB_34_2, KIKIT_MB_34_3, KIKIT_MB_34_4, KIKIT_MB_35_1, KIKIT_MB_35_2, KIKIT_MB_35_3, KIKIT_MB_35_4, KIKIT_MB_36_1, KIKIT_MB_36_2, KIKIT_MB_36_3, KIKIT_MB_36_4, KIKIT_MB_37_1, KIKIT_MB_37_2, KIKIT_MB_37_3, KIKIT_MB_37_4, KIKIT_MB_38_1, KIKIT_MB_38_2, KIKIT_MB_38_3, KIKIT_MB_38_4, KIKIT_MB_39_1, KIKIT_MB_39_2, KIKIT_MB_39_3, KIKIT_MB_39_4, KIKIT_MB_3_1, KIKIT_MB_3_2, KIKIT_MB_3_3, KIKIT_MB_3_4, KIKIT_MB_40_1, KIKIT_MB_40_2, KIKIT_MB_40_3, KIKIT_MB_40_4, KIKIT_MB_41_1, KIKIT_MB_41_10, KIKIT_MB_41_11, KIKIT_MB_41_2, KIKIT_MB_41_3, KIKIT_MB_41_4, KIKIT_MB_41_5, KIKIT_MB_41_6, KIKIT_MB_41_7, KIKIT_MB_41_8, KIKIT_MB_41_9, KIKIT_MB_42_1, KIKIT_MB_42_10, KIKIT_MB_42_11, KIKIT_MB_42_2, KIKIT_MB_42_3, KIKIT_MB_42_4, KIKIT_MB_42_5, KIKIT_MB_42_6, KIKIT_MB_42_7, KIKIT_MB_42_8, KIKIT_MB_42_9, KIKIT_MB_43_1, KIKIT_MB_43_10, KIKIT_MB_43_11, KIKIT_MB_43_2, KIKIT_MB_43_3, KIKIT_MB_43_4, KIKIT_MB_43_5, KIKIT_MB_43_6, KIKIT_MB_43_7, KIKIT_MB_43_8, KIKIT_MB_43_9, KIKIT_MB_44_1, KIKIT_MB_44_10, KIKIT_MB_44_11, KIKIT_MB_44_2, KIKIT_MB_44_3, KIKIT_MB_44_4, KIKIT_MB_44_5, KIKIT_MB_44_6, KIKIT_MB_44_7, KIKIT_MB_44_8, KIKIT_MB_44_9, KIKIT_MB_45_1, KIKIT_MB_45_10, KIKIT_MB_45_11, KIKIT_MB_45_2, KIKIT_MB_45_3, KIKIT_MB_45_4, KIKIT_MB_45_5, KIKIT_MB_45_6, KIKIT_MB_45_7, KIKIT_MB_45_8, KIKIT_MB_45_9, KIKIT_MB_46_1, KIKIT_MB_46_10, KIKIT_MB_46_11, KIKIT_MB_46_2, KIKIT_MB_46_3, KIKIT_MB_46_4, KIKIT_MB_46_5, KIKIT_MB_46_6, KIKIT_MB_46_7",NPTH,200,NPTH,
