Designator,Mid X,Mid Y,Rotation,Layer
BZ1_10,206.610917,-27.956962,0.0,top
BZ1_9,74.869145,-27.956962,0.0,top
BZ1_8,30.955221,-27.956962,0.0,top
BZ1_7,30.955221,-101.413924,0.0,top
BZ1_6,206.610917,-101.413924,0.0,top
BZ1_5,118.783069,-27.956962,0.0,top
BZ1_4,162.696993,-27.956962,0.0,top
BZ1_3,118.783069,-101.413924,0.0,top
BZ1_2,162.696993,-101.413924,0.0,top
BZ1,74.869145,-101.413924,0.0,top
C1_10,204.360917,-68.456962,90.0,top
C1_9,72.619145,-68.456962,90.0,top
C1_8,160.446993,-141.913924,90.0,top
C1_7,160.446993,-68.456962,90.0,top
C1_6,204.360917,-141.913924,90.0,top
C1_5,116.533069,-68.456962,90.0,top
C1_4,116.533069,-141.913924,90.0,top
C1_3,28.705221,-141.913924,90.0,top
C1_2,72.619145,-141.913924,90.0,top
C1,28.705221,-68.456962,90.0,top
C2_10,121.033069,-68.456962,90.0,top
C2_9,164.946993,-68.456962,90.0,top
C2_8,33.205221,-68.456962,90.0,top
C2_7,164.946993,-141.913924,90.0,top
C2_6,208.860917,-141.913924,90.0,top
C2_5,208.860917,-68.456962,90.0,top
C2_4,121.033069,-141.913924,90.0,top
C2_3,33.205221,-141.913924,90.0,top
C2_2,77.119145,-68.456962,90.0,top
C2,77.119145,-141.913924,90.0,top
C3_10,30.955221,-64.206962,0.0,top
C3_9,162.696993,-64.206962,0.0,top
C3_8,206.610917,-64.206962,0.0,top
C3_7,118.783069,-137.663924,0.0,top
C3_6,74.869145,-137.663924,0.0,top
C3_5,118.783069,-64.206962,0.0,top
C3_4,206.610917,-137.663924,0.0,top
C3_3,162.696993,-137.663924,0.0,top
C3_2,74.869145,-64.206962,0.0,top
C3,30.955221,-137.663924,0.0,top
D1_10,30.955221,-38.456962,0.0,top
D1_9,30.955221,-111.913924,0.0,top
D1_8,74.869145,-111.913924,0.0,top
D1_7,118.783069,-111.913924,0.0,top
D1_6,74.869145,-38.456962,0.0,top
D1_5,162.696993,-38.456962,0.0,top
D1_4,118.783069,-38.456962,0.0,top
D1_3,206.610917,-111.913924,0.0,top
D1_2,206.610917,-38.456962,0.0,top
D1,162.696993,-111.913924,0.0,top
D10_10,188.610917,-101.413924,90.0,bottom
D10_9,12.955221,-101.413924,90.0,bottom
D10_8,56.869145,-27.956962,90.0,bottom
D10_7,144.696993,-27.956962,90.0,bottom
D10_6,56.869145,-101.413924,90.0,bottom
D10_5,144.696993,-101.413924,90.0,bottom
D10_4,12.955221,-27.956962,90.0,bottom
D10_3,100.783069,-101.413924,90.0,bottom
D10_2,100.783069,-27.956962,90.0,bottom
D10,188.610917,-27.956962,90.0,bottom
D11_10,48.955221,-27.956962,270.0,bottom
D11_9,224.610917,-101.413924,270.0,bottom
D11_8,224.610917,-27.956962,270.0,bottom
D11_7,180.696993,-27.956962,270.0,bottom
D11_6,92.869145,-27.956962,270.0,bottom
D11_5,136.783069,-101.413924,270.0,bottom
D11_4,136.783069,-27.956962,270.0,bottom
D11_3,48.955221,-101.413924,270.0,bottom
D11_2,180.696993,-101.413924,270.0,bottom
D11,92.869145,-101.413924,270.0,bottom
D2_10,118.783069,-47.706962,180.0,bottom
D2_9,74.869145,-121.163924,180.0,bottom
D2_8,30.955221,-121.163924,180.0,bottom
D2_7,30.955221,-47.706962,180.0,bottom
D2_6,206.610917,-47.706962,180.0,bottom
D2_5,162.696993,-47.706962,180.0,bottom
